"","tracking_id","class_code","nearest_ref_id","gene_short_name","tss_id","locus","length","coverage","Dex_FPKM","Dex_conf_lo","Dex_conf_hi","Dex_status","Alb_FPKM","Alb_conf_lo","Alb_conf_hi","Alb_status","Untreated_FPKM","Untreated_conf_lo","Untreated_conf_hi","Untreated_status","Alb_Dex_FPKM","Alb_Dex_conf_lo","Alb_Dex_conf_hi","Alb_Dex_status","Dex_LL14","Dex_LL06","Dex_LL02","Dex_LL10","Alb_LL07","Alb_LL03","Alb_LL11","Alb_LL15","Untreated_LL09","Untreated_LL05","Untreated_LL13","Untreated_LL01","Alb_Dex_LL08","Alb_Dex_LL04","Alb_Dex_LL12","Alb_Dex_LL16"
"MIR4461",0,0,0,0,0,0,0,0,15.7874409332924,12.0989992594728,16.7303772591092,0,16.4993834506379,13.255056608832,17.4211772673443,0,16.2696417310431,14.4767715141568,17.0448209901018,0,15.8587046873775,12.3006385539937,16.7961283545648,0,0,6.95447551466621,0,0,18.8575770996098,0,0,10.0585600272442,0,7.50842072909709,0,0,7.21074925938844,0.763850053126464,0.574242015625442,0
"MIR3064",0,0,0,0,0,0,0,0,13.6848691321367,0,16.3476179085317,0,14.1127571384042,0,17.070613641346,0,13.9587430081309,0,16.209468596704,0,14.1553795751549,0,16.8219732354811,0,13.5205818515879,13.5458573912646,13.9340686121921,13.3679197699279,14.3791752707042,14.7471282596095,14.3252492304929,14.2825020666851,13.118759427021,13.6662572953815,13.5747590730079,13.8749045247862,14.6519934420667,14.4996964288887,14.0684424160258,14.301817678955
"SNORD29",0,0,0,0,0,0,0,0,13.2391241160369,0,16.7668782560632,0,11.6288920412003,0,15.901986405056,0,13.6656357072027,0,16.8955989484438,0,13.5895341158888,0,17.1502332010729,0,0,13.375419609612,0,14.6218801688138,0,0.788930384305747,0,0,0.653568196624558,1.17687165836138,0,0,15.1734194891841,0,0,14.0839280221364
"FTL",0,0,0,0,0,0,0,0,13.2780065339684,11.5927139710821,14.0342229385912,0,13.6261767299752,0,14.6790511858559,0,0,0,0,0,13.5960150005218,11.0278161708064,14.4689485364466,0,12.9769095412955,13.2164215184428,13.3597358359892,13.4396101524123,13.2841459609357,13.9685138046965,13.4906252813516,13.5537852654877,0,0,0,0,13.5708400066904,13.3947976053625,13.9631128269755,13.2258641536148
"SNORD80",0,0,0,0,0,0,0,0,13.239094273513,0,16.8823445265559,0,13.099060097541,0,17.289883804011,0,12.4510565290823,0,16.2344844054979,0,12.7186891238957,0,16.7036332590333,0,13.0859371273375,12.3755227835708,12.5292743676091,14.107306995984,13.3894296812463,12.2232294568421,12.9104478597972,14.1038614934985,12.6950607794821,12.2478474274089,10.9410476063406,10.4572474800495,13.7562331393175,11.3065117491906,12.7924080189302,13.1813200023504
"MIR5047",0,0,0,0,0,0,0,0,12.4956277145747,0,14.619795845516,0,12.903975964211,0,15.3123299296232,0,12.0733181690261,0,14.0636310167917,0,12.7318196442026,0,14.9246037652648,0,12.1804655396125,12.6166591092497,13.0317683914153,11.8829868710841,13.3312108756786,13.3188534584291,12.7543781275435,13.3876673355262,10.9147962042969,11.7058310682067,11.7710519727534,12.4955427755081,13.2958837027306,13.1808353510582,12.8526953044722,12.4455141141006
"MIR24-1",0,0,0,0,0,0,0,0,12.408512852689,0,15.6688905228576,0,11.2638970880042,0,15.1653152973475,0,11.6697088929315,0,14.9404237223352,0,11.8511595082343,0,15.2769858383766,0,11.3517177616223,12.319000287273,12.209770138882,13.1503835555911,0,0,1.42244831223346,0,1.0673220601232,0.680431485914696,0,0,0,0,14.0388075601108,12.1060819619304
"SNORD49A",0,0,0,0,0,0,0,0,11.3930257151966,0,16.4940461535169,0,8.87846173868273,0,15.7617615755098,0,10.888111551083,0,15.9656918590505,0,10.9479437063053,0,16.4620900333809,0,10.0871710903288,10.0613036807835,11.9473593294137,12.3014819051431,0,0.737186598118,0,0,11.1135403308742,0,9.95413522724729,11.4616533787564,0,12.3087542572014,11.7945011582992,10.8615677242104
"SNORD68",0,0,0,0,0,0,0,0,10.5992154950177,0,16.4389721132335,0,11.1663827975352,0,17.219064505299,0,10.1005572207829,0,15.9803806018494,0,10.1132993938569,0,16.3950520855472,0,11.3325233338333,9.71626559329238,10.6062201212817,9.96254034729338,0,11.9087115997601,0,12.6194932538759,0,1.43691870909549,0,0,10.6141945038558,10.9711627126664,0,10.5247277940451
"SNORD31",0,0,0,0,0,0,0,0,10.6261744479683,0,14.4854331168078,0,12.1887340968932,0,15.4420298625032,0,9.84051044170453,0,13.9705373400619,0,11.0391178261417,0,14.7657626357255,0,0,11.3192826084407,0,11.5657399608702,0,13.371572474933,13.0589387725692,12.0826946069746,0,0,0.572433753250883,0,0,12.5526979127067,0,12.1060819619304
